consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,key_resp_4.keys,key_resp_4.rt,click_action.keys,click_action.corr,click_action.rt,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,click_action_2.keys,click_action_2.corr,click_action_2.rt,action_selection_two.thisRepN,action_selection_two.thisTrialN,action_selection_two.thisN,action_selection_two.thisIndex,action_selection_two.ran,resp4.keys,resp4_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,action2,resp4.rt,resp4_4.rt,key_resp_3.keys,key_resp_24.keys,key_resp_25.keys,key_resp_25.rt,key_resp_34.keys,key_resp_34.rt,PR_vs_SR.thisRepN,PR_vs_SR.thisTrialN,PR_vs_SR.thisN,PR_vs_SR.thisIndex,PR_vs_SR.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,a1,a2,r5_num,corr_quiz_ans,type_trial_immediate_first,key_resp_24.rt,key_resp_8.keys,key_resp_8.rt,key_resp_29.keys,key_resp_29.rt,transition_reval_choice.keys,transition_reval_choice.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.3962,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,430,430,430,1,snorkel.png,tree.png,planet.png,1,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1.1043,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.3767,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,431,431,431,1,train.png,tree.png,planet.png,2,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0.7462,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.1021,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,432,432,432,1,compass.png,watch.png,trident.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.1097,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.4852,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,433,433,433,1,snorkel.png,watch.png,trident.png,1,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1.1021,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.7601,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,k,0,434,434,434,1,compass.png,watch.png,trident.png,5,k,11.6991,0.0104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.4943,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.7574,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,435,435,435,1,snorkel.png,tree.png,planet.png,1,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1.1052,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.7767,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,436,436,436,1,train.png,watch.png,trident.png,2,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0.7368,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.1328,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,437,437,437,1,apple.png,fox.png,trident.png,6,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.7606,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.3909,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,438,438,438,1,north.png,tree.png,planet.png,3,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1.1586,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.4699,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,439,439,439,1,train.png,watch.png,trident.png,2,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1.1231,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.1176,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,440,440,440,1,compass.png,tree.png,bell.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1.1077,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.4732,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,441,441,441,1,compass.png,watch.png,bell.png,5,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1.8468,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.1029,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,442,442,442,1,train.png,watch.png,trident.png,2,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1.1133,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.1187,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,443,443,443,1,compass.png,tree.png,bell.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1.1471,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.138,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,444,444,444,1,compass.png,watch.png,trident.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1.1491,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.1056,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,445,445,445,1,compass.png,watch.png,trident.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1.1265,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.1015,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,446,446,446,1,compass.png,watch.png,trident.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1.12,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.1067,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,447,447,447,1,compass.png,tree.png,bell.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.1045,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,1.4835,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,448,448,448,1,snorkel.png,watch.png,trident.png,1,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5bb7b83ab791890001f4fd90,001,2023-08-12_13h56.12.390,study6,2022.2.5,Win32,3.000111004,5bb7b83ab791890001f4fd90,64d6e2ce8cb7a97160018342,64d77d7e3d22962fae58c825,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1.4984,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
